6b5cA02 1.10.8.60.22 A.198-283
2a2cA01 3.30.230.10.38 A.27-235,467-478
3k17A01 3.30.230.10.39 A.5-209,350-359
1pieA01 3.30.230.10.40 A.29-229,407-416
4fwgA03 3.30.230.10.41 A.471-710
1kvkA01 3.30.230.10.42 A.1-226,375-394
2zbkB03 3.30.230.10.43 B.308-519
2ljpA00 3.30.230.10.44 A.1-119
3c6fA02 3.30.240.20.1 A.90-152
3kttB02 3.30.260.10.4 B.134-202,356-391
4fuqA02 3.30.300.30.5 A.398-503
5x8fB02 3.30.300.30.6 B.384-485
3vnrA02 3.30.300.30.7 A.438-537
3nyqA02 3.30.300.30.8 A.406-491
4rlqB04 3.30.300.30.9 B.429-519
5uptA02 3.30.300.30.10 A.410-516
3fceA02 3.30.300.30.11 A.398-504
4gs5A02 3.30.300.30.12 A.249-353
1amuA04 3.30.300.30.13 A.435-530
4isbB02 3.30.300.30.14 B.426-532
5ifiB02 3.30.300.30.15 B.559-690
1yj7D02 3.30.300.30.16 D.79-171
4wxaA00 3.30.310.50.10 A.7-90
3i3wA04 3.30.310.50.11 A.367-443
3encA00 3.30.310.50.12 A.7-85
2jpiA00 3.30.310.50.13 A.23-118
1m5q102 3.30.310.60.1 1.69-126
1q9uA00 3.30.310.70.1 A.3-130
3c1aA02 3.30.360.10.36 A.132-276
3evnA02 3.30.360.10.37 A.124-323
2x5kP02 3.30.360.10.38 P.154-318
1zh8A02 3.30.360.10.39 A.140-287,307-340
3ohsX02 3.30.360.10.40 X.123-332
4hktA02 3.30.360.10.41 A.121-331
4koaA02 3.30.360.10.42 A.123-333
3ip3A02 3.30.360.10.43 A.127-329
3hrdB01 3.30.365.10.10 B.1-14,181-330
1n62B05 3.30.365.10.11 B.213-309
3hrdB02 3.30.365.10.12 B.15-163
3suuA02 3.30.379.10.5 A.37-181
1c7sA02 3.30.379.10.6 A.182-308
2pgwA01 3.30.390.10.53 A.4-130,352-374
2gdqA01 3.30.390.10.54 A.3-109
3ik4B01 3.30.390.10.55 B.2-119
3cyjA01 3.30.390.10.56 A.6-118,356-364
2oz8A01 3.30.390.10.57 A.3-119,352-369
4gfiC01 3.30.390.10.58 C.3-107
1wueB01 3.30.390.10.59 B.18-143,364-386
4h1zF01 3.30.390.10.60 F.25-171,393-412
3ddmA01 3.30.390.10.61 A.8-133,372-381
2opjA01 3.30.390.10.62 A.2-60,286-312
3ro6C01 3.30.390.10.63 C.1-115
3cawA01 3.30.390.10.64 A.3-89,315-328
3or1B02 3.30.413.10.7 B.134-208,274-386
4b1yB02 3.30.420.40.59 B.138-181,271-335
3ohrA02 3.30.420.40.60 A.107-297
3vpzA01 3.30.420.40.61 A.7-111,312-328
3lm2A02 3.30.420.40.62 A.100-226
1z05A03 3.30.420.40.63 A.232-401
2d0oA01 3.30.420.40.64 A.1-76,371-404,582-606
4htlA02 3.30.420.40.65 A.105-294
2f9wA01 3.30.420.40.66 A.3-139,258-271
3bexA02 3.30.420.40.67 A.123-234
2qm1A02 3.30.420.40.68 A.133-305
2d0oA04 3.30.420.40.69 A.405-465,511-581
2nrhB02 3.30.420.40.70 B.61-209
2fsjA01 3.30.420.40.71 A.21-93,94-186,325-345
2zgyA01 3.30.420.40.72 A.1-163,304-320
1k8kA03 3.30.420.40.73 A.143-196,292-370
2aa4A01 3.30.420.40.74 A.1-118,271-289
1zc6B01 3.30.420.40.75 B.3-122,279-295
2yhxA02 3.30.420.40.76 A.58-187
2hoeA02 3.30.420.40.77 A.84-210,357-380
1u6zA01 3.30.420.40.78 A.12-116,296-310
3i33A03 3.30.420.40.79 A.207-249,334-381
2hoeA03 3.30.420.40.80 A.211-356
1woqA01 3.30.420.40.81 A.11-122
3sk3A02 3.30.420.40.82 A.214-415
5ly3A01 3.30.420.40.83 A.4-172,397-430
4ijnA02 3.30.420.40.84 A.199-397
3js6A02 3.30.420.40.85 A.179-318
3d2fA01 3.30.420.40.86 A.2-38,115-186,364-387
4bc3A02 3.30.420.40.87 A.291-465,501-533
2gupA02 3.30.420.40.88 A.102-292
2f9wA02 3.30.420.40.89 A.140-257
4m7xA01 3.30.420.40.90 A.1-69,252-273
3cetB01 3.30.420.40.91 B.2-111
1z84A02 3.30.428.10.11 A.63-195
3imiC00 3.30.428.10.12 C.7-147
2eo4A00 3.30.428.10.13 A.1-149
3n4hA00 3.30.429.10.16 A.2-118
2aalA00 3.30.429.10.17 A.2-130
1mwwB00 3.30.429.10.18 B.1-118
3licA01 3.30.450.20.99 A.1-178
4i5sA02 3.30.450.20.100 A.102-199
3njaB01 3.30.450.20.101 B.15-76
3njaA01 3.30.450.20.102 A.17-76
1wa9A02 3.30.450.20.103 A.143-310
2w0nA00 3.30.450.20.104 A.1-118
1ll8A00 3.30.450.20.105 A.1-114
2m1cA00 3.30.450.20.106 A.1-113
4espA00 3.30.450.30.1 A.1-130
6b9xC00 3.30.450.30.2 C.2-122
6b9xB00 3.30.450.30.3 B.1-126
2v8fA00 3.30.450.30.4 A.2-140
4qwoB00 3.30.450.30.5 B.26-157
3d9yA00 3.30.450.30.6 A.2-127
1j3wC00 3.30.450.30.7 C.6-138
4ftxB01 3.30.450.30.8 B.31-162
6b9xE00 3.30.450.30.9 E.83-173
3kyeB00 3.30.450.30.10 B.23-143
3necA00 3.30.450.30.11 A.5-166
3l7hB00 3.30.450.30.12 B.1-94
3mmhA00 3.30.450.40.1 A.1-167
4q0hA02 3.30.450.40.2 A.144-242,272-337
5zohA00 3.30.450.40.3 A.20-193
2o99B00 3.30.450.40.4 B.1-178
3trcA00 3.30.450.40.5 A.1-168
3k1lA02 3.30.457.30.1 A.104-193
1knyA01 3.30.460.10.22 A.1-125
6q52A01 3.30.460.10.23 A.41-183
2pbeA01 3.30.460.10.24 A.11-146,206-216
4at7A02 3.30.460.10.25 A.40-191
2hhpA02 3.30.460.10.26 A.40-195
2nrkA00 3.30.460.10.27 A.7-173
4bbyA03 3.30.465.10.15 A.264-384
2nqwA00 3.30.465.10.16 A.7-93
2r2zA00 3.30.465.10.17 A.8-91
2fp4B01 3.30.470.20.22 B.1-20,112-246
3wnzA03 3.30.470.20.23 A.231-374
4fflA02 3.30.470.20.24 A.95-363
3r5xD02 3.30.470.20.25 D.86-111,179-307
5h80B03 3.30.470.20.26 B.232-494
3df7A02 3.30.470.20.27 A.99-124,166-276
3g8dA02 3.30.470.20.28 A.204-444
4dimA03 3.30.470.20.29 A.190-403
4fu0A02 3.30.470.20.30 A.129-153,223-348
3lp8A03 3.30.470.20.31 A.210-347
1efuB03 3.30.479.20.3 B.141-180,228-261
1wz9A01 3.30.497.10.13 A.1-169,276-327
3pzfA02 3.30.497.10.14 A.45-187,288-341
1jmoA01 3.30.497.10.15 A.101-278,378-426
1c96A03 3.30.499.10.4 A.315-489
4pp8D00 3.30.500.10.13 D.3-172
4pdcE00 3.30.500.10.14 E.1-150
3vrpA03 3.30.505.10.26 A.243-328
3bkbA01 3.30.505.10.27 A.4-96
2oq1A01 3.30.505.10.28 A.1-109
2vifA01 3.30.505.10.29 A.6-138
2c9wA01 3.30.505.10.30 A.3-129
3qwxX01 3.30.505.10.31 X.4-115
3q63F00 3.30.530.20.31 F.6-144
2pcsA00 3.30.530.20.32 A.3-161
5i9jA00 3.30.530.20.33 A.16-229
2e3nA00 3.30.530.20.34 A.22-255
4fpwB00 3.30.530.20.35 B.4-179
3ggnB00 3.30.530.20.36 B.3-148
3f08A00 3.30.530.20.37 A.2-138
3bigA01 3.30.540.10.8 A.3-111,279-326
6ib8B01 3.30.540.10.9 B.1-144
2debB02 3.30.559.10.16 B.46-125,437-589,600-652
2i9dA00 3.30.559.10.17 A.5-217
4n72B00 3.30.559.10.18 B.3-247
3maeA00 3.30.559.10.19 A.15-248
1pvgA01 3.30.565.10.18 A.20-263
4gt8A00 3.30.565.10.19 A.1-133
1r62A00 3.30.565.10.20 A.5-160
3d36B01 3.30.565.10.21 B.1-10,77-226
2c2aA02 3.30.565.10.22 A.91-250
4iqbA00 3.30.572.10.2 A.24-311
4is4D02 3.30.590.10.7 D.126-378
3jyzA00 3.30.700.10.6 A.1-150
1fs1B00 3.30.710.10.13 B.2-134
6i5nC00 3.30.710.10.14 C.1-97
2p1mA00 3.30.710.10.15 A.8-160
6ocrE00 3.30.710.10.16 E.1-102
3tu3B01 3.30.720.80.1 B.79-126,497-524
4akxB01 3.30.720.80.2 B.44-75,446-473
3u5ek00 3.30.720.90.1 k.2-78
1vx7d00 3.30.720.90.2 d.2-77
1k32A03 3.30.750.44.2 A.655-726
1fc6A01 3.30.750.44.3 A.2-84,324-338
4l8kA01 3.30.750.44.4 A.6-76,250-268
4ghnA01 3.30.750.44.5 A.4-92,327-348
5oomg00 3.30.780.10.3 g.38-166
1q2lA03 3.30.830.10.20 A.480-627,648-709,842-861
2a06B02 3.30.830.10.21 B.236-439
1q2lA02 3.30.830.10.22 A.249-479
2fgeA03 3.30.830.10.23 A.505-547,798-993
4ggjA00 3.30.870.10.9 A.6-180
2f5tX01 3.30.870.10.10 X.1-139
2vfxJ00 3.30.900.10.3 J.1-206
1ghhA00 3.30.910.10.1 A.1-81
4p78C00 3.30.920.30.2 C.1-66
1usyA00 3.30.930.10.28 A.1-275
4lnsA00 3.30.930.10.29 A.3-350
2xgtA02 3.30.930.10.30 A.104-435
3lssA02 3.30.930.10.31 A.143-472
2e5aA01 3.30.930.10.32 A.5-168,179-250
5t8uB01 3.30.930.10.33 B.11-276
2cjaA02 3.30.930.10.34 A.183-522
1ve2B02 3.30.950.10.6 B.117-231
3ndcA02 3.30.950.10.7 A.114-236
1nyrB02 3.30.980.10.6 B.66-223
1dtdB00 3.30.1040.10.1 B.1-61
3r1kA03 3.30.1050.10.9 A.324-419
4my0A03 3.30.1050.10.10 A.284-383
1a87A01 3.30.1120.60.1 A.25-121
3kdrA03 3.30.1120.70.1 A.155-204
3lxqA01 3.30.1120.80.1 A.40-61,372-448
1wurA02 3.30.1130.10.6 A.86-216
4g7xB00 3.30.1150.10.1 B.36-137
1pzxA03 3.30.1180.10.5 A.158-289
3r4cA02 3.30.1240.10.7 A.91-191
3dnpA02 3.30.1240.10.8 A.86-198
3ci0I00 3.30.1300.30.3 I.6-89
2retA00 3.30.1300.30.4 A.7-90
1ybxA00 3.30.1310.10.3 A.43-133
3obwA03 3.30.1330.30.18 A.263-364
3jamM00 3.30.1330.30.19 M.13-134
3obyA03 3.30.1330.30.20 A.246-344
1gz0F01 3.30.1330.30.21 F.1-86
2qi2A03 3.30.1330.30.22 A.245-338
3v7eA00 3.30.1330.30.23 A.2-82
6em3G00 3.30.1330.30.24 G.70-233
2lbwA00 3.30.1330.30.25 A.1-121
2xzmU00 3.30.1330.30.26 U.3-126
1ufyA00 3.30.1330.40.1 A.1-121
3m1xA00 3.30.1330.40.2 A.23-148
1qu9A00 3.30.1330.40.3 A.2-128
1ptfA00 3.30.1340.10.3 A.1-87
3mmlF01 3.30.1360.40.8 F.19-97
3qx3B03 3.30.1360.40.9 B.493-596
6bq9A02 3.30.1360.40.10 A.245-338
3va7A05 3.30.1360.40.11 A.821-920
1wihA00 3.30.1360.40.12 A.1-84
2kwaA00 3.30.1360.40.13 A.1-101
3ipjA01 3.30.1360.60.1 A.1-80
3bp3A00 3.30.1360.60.2 A.1-81
1f0xA04 3.30.1370.20.1 A.435-519
1seiA01 3.30.1370.30.1 A.1-72
1i6uA01 3.30.1370.30.2 A.2-69
5mmjh01 3.30.1370.30.3 h.2-76
2a1sC02 3.30.1370.50.1 C.147-245
2a1sA02 3.30.1370.50.2 A.170-245
3gkuA03 3.30.1370.50.3 A.141-211
2lrrA00 3.30.1370.50.4 A.9-78
2cpmA00 3.30.1370.50.5 A.1-94
4murA00 3.30.1380.10.5 A.22-210
4mphA00 3.30.1380.10.6 A.4-192
2w9rA00 3.30.1390.10.3 A.12-108
2wnyA00 3.30.1440.10.3 A.4-140
3d4eA02 3.30.1450.10.2 A.102-179
1ry9A00 3.30.1460.10.9 A.13-145
2fm8B00 3.30.1460.10.10 B.1-135
1k3sA00 3.30.1460.10.11 A.2-113
1bjtA01 3.30.1490.30.2 A.167-209
3k3vA00 3.30.1490.40.1 A.15-93
4bwsF00 3.30.1490.40.2 F.5-71
1wh2A01 3.30.1490.40.3 A.18-78
1m0wB05 3.30.1490.50.1 B.356-417
3kalB05 3.30.1490.50.2 B.366-431
1xdnA01 3.30.1490.70.1 A.5-42,198-269
3jslA02 3.30.1490.70.2 A.81-114,246-309
1fviA01 3.30.1490.70.3 A.1-28,136-186
1s68A01 3.30.1490.70.4 A.7-37,151-233
4d05B01 3.30.1490.70.5 B.6-28,130-177
1dgsA02 3.30.1490.70.6 A.84-118,251-310
4p2iA00 3.30.1520.10.9 A.5-137
1h6hA00 3.30.1520.10.10 A.1-143
1q7eA02 3.30.1540.10.2 A.245-341
1m2kA02 3.30.1600.10.3 A.29-75,117-162
3jc6201 3.30.1640.10.5 2.201-302
3onrJ00 3.30.1660.10.4 J.3-70
4fwwA02 3.30.1680.10.5 A.482-527
3odcA00 3.30.1740.10.2 A.6-98
3cddB03 3.30.1920.10.1 B.206-281
4il3A02 3.30.2010.10.5 A.222-305
2auwA01 3.30.2020.10.1 A.6-87
3k0bA01 3.30.2130.30.1 A.1-171,227-257
4fxiA00 3.30.2310.20.4 A.2-95
2a6sB00 3.30.2310.20.5 B.1-84
3v6iA02 3.30.2320.30.2 A.97-187
1v9kA00 3.30.2350.10.5 A.2-228
2lsmA00 3.40.5.70.1 A.1-61
4lizA00 3.40.20.10.10 A.2-139
3eh1A05 3.40.20.10.11 A.602-730
2w0iA00 3.40.20.10.12 A.1-135
4bpyA00 3.40.30.10.144 A.1-175
3uemA02 3.40.30.10.145 A.115-238
4iw9B01 3.40.30.10.146 B.17-104,218-231
2a4vA01 3.40.30.10.147 A.11-158
6hf1A02 3.40.30.10.148 A.131-238
3einA01 3.40.30.10.149 A.2-78
1a8lA02 3.40.30.10.150 A.120-225
3hczA00 3.40.30.10.151 A.2-148
2pptA02 3.40.30.10.152 A.47-152
2h8lA02 3.40.30.10.153 A.120-231
3zitB00 3.40.30.10.154 B.1-78
3fhkA02 3.40.30.10.155 A.28-147
4ruvA00 3.40.30.10.156 A.9-114
2ycdA01 3.40.30.10.157 A.16-101
3lwaA01 3.40.30.10.158 A.26-182
4f9zA02 3.40.30.10.159 A.112-227
2yv7A01 3.40.30.10.160 A.14-115
4hi7B01 3.40.30.10.161 B.1-80
1t1vA00 3.40.30.10.162 A.1-93
4kh7B01 3.40.30.10.163 B.19-107
1abaA00 3.40.30.10.164 A.1-87
4je1B00 3.40.30.10.165 B.10-175
6fmuA01 3.40.30.10.166 A.6-105
3gnjA00 3.40.30.10.167 A.1-111
1v57A03 3.40.30.10.168 A.87-230
4fyuA00 3.40.30.10.169 A.2-145
3kp8A00 3.40.30.10.170 A.1-94
4n0vA01 3.40.30.10.171 A.1-83,202-213
3ed3B02 3.40.30.10.172 B.144-288
3eytB00 3.40.30.10.173 B.3-156
3erwC00 3.40.30.10.174 C.16-145
4ri6A01 3.40.30.10.175 A.4-90
2trcP01 3.40.30.10.176 P.84-217
2yzuA00 3.40.30.10.177 A.2-105
3hz4A00 3.40.30.10.178 A.4-123
4gf0A01 3.40.30.10.179 A.1-83,197-208
3q2uA00 3.40.33.10.5 A.7-199
5kp7A01 3.40.47.10.33 A.26-212,365-443
5sxoA02 3.40.47.10.34 A.256-400
6bjbA02 3.40.47.10.35 A.156-197,279-390
6et0C02 3.40.47.10.36 C.208-365
4c72A02 3.40.47.10.37 A.290-439
1hnjA02 3.40.47.10.38 A.172-317
3s3lA01 3.40.47.10.39 A.1-179
5kp7A02 3.40.47.10.40 A.213-364
3oj0A00 3.40.50.720.384 A.4-141
5tdeB01 3.40.50.720.385 B.1-138
1q0qA01 3.40.50.720.386 A.9-158
3hwrA01 3.40.50.720.387 A.21-189
3rkrA00 3.40.50.720.388 A.25-261
3r3sA00 3.40.50.720.389 A.3-294
5f5nA00 3.40.50.720.390 A.1-289
3db2A01 3.40.50.720.391 A.3-124,303-320
5tnxA02 3.40.50.720.392 A.189-325
2h6eA02 3.40.50.720.393 A.151-293
2pv7A01 3.40.50.720.394 A.13-171
4xgiA03 3.40.50.720.395 A.208-362
2o3sA02 3.40.50.720.396 A.79-105,162-258
1iukA00 3.40.50.720.397 A.1-136
3c85A00 3.40.50.720.398 A.33-182
3m2tB01 3.40.50.720.399 B.2-125,291-344
3g79A01 3.40.50.720.400 A.4-227
4lswA01 3.40.50.720.401 A.1-100,287-318
4uejA02 3.40.50.720.402 A.149-286
5g4kA00 3.40.50.720.403 A.23-286
4yrdA01 3.40.50.720.404 A.4-240
1hyeA01 3.40.50.720.405 A.1-147
4a0sA02 3.40.50.720.406 A.215-361
3ucxA00 3.40.50.720.407 A.7-264
4cr6A00 3.40.50.720.408 A.11-271
4e21A01 3.40.50.720.409 A.8-201
3kzvA00 3.40.50.720.410 A.2-254
4fdaA00 3.40.50.720.411 A.1-273
4h3vA01 3.40.50.720.412 A.5-140
4wuvA00 3.40.50.720.413 A.28-307
4gbjC01 3.40.50.720.414 C.6-162
1gtmA02 3.40.50.720.415 A.181-418
1nhwA00 3.40.50.720.416 A.1-229
1omoA02 3.40.50.720.417 A.122-292
1jtvA00 3.40.50.720.418 A.1-285
4imrB00 3.40.50.720.419 B.23-275
4idcA02 3.40.50.720.420 A.163-277
4e5nC01 3.40.50.720.421 C.1-97,295-330
2ixaA01 3.40.50.720.422 A.19-148,357-395
1r12A02 3.40.50.720.423 A.68-99,152-251
1yqgA01 3.40.50.720.424 A.2-150
3gg9A01 3.40.50.720.425 A.2-106,305-343
2dvmB02 3.40.50.720.426 B.160-435
4a27A02 3.40.50.720.427 A.123-310
4eyeA02 3.40.50.720.428 A.143-310
3fwzA00 3.40.50.720.429 A.1-140
4njmA01 3.40.50.720.430 A.1-104,271-303
4oaqA02 3.40.50.720.431 A.168-308
3iusB00 3.40.50.720.432 B.5-286
3llvA00 3.40.50.720.433 A.6-137
4jbgA02 3.40.50.720.434 A.185-318
3fi9A01 3.40.50.720.435 A.2-151
3gt0A01 3.40.50.720.436 A.2-160
3qy9B01 3.40.50.720.437 B.3-109,215-243
1jvbA02 3.40.50.720.438 A.155-295
1zemA00 3.40.50.720.439 A.3-262
2o4cA02 3.40.50.720.440 A.92-257
3un1C00 3.40.50.720.441 C.27-260
5o98A00 3.40.50.720.442 A.25-317
1vj0A02 3.40.50.720.443 A.179-325
3d1lB01 3.40.50.720.444 B.7-167
4eezA02 3.40.50.720.445 A.148-287
6iheA01 3.40.50.720.446 A.1-140
4ej6A02 3.40.50.720.447 A.171-309
3abiA01 3.40.50.720.448 A.16-133,311-364
1s6yA01 3.40.50.720.449 A.7-173
6jnjB01 3.40.50.720.450 B.5-119
4g2nA01 3.40.50.720.451 A.27-127,315-342
1pl8A02 3.40.50.720.452 A.159-297
3oh8A02 3.40.50.720.453 A.142-430
3hn2B01 3.40.50.720.454 B.3-177
3moiA01 3.40.50.720.455 A.1-122,335-387
3ip1A02 3.40.50.720.456 A.193-342
2d0iA01 3.40.50.720.457 A.1-94,287-333
3qhaA01 3.40.50.720.458 A.15-173
1yxmC00 3.40.50.720.459 C.5-299
3rc1A01 3.40.50.720.460 A.26-151
1z45A01 3.40.50.720.461 A.11-209,240-287,316-336
4bs9A02 3.40.50.720.462 A.98-325
3fhlA01 3.40.50.720.463 A.3-123,307-323
3twoA02 3.40.50.720.464 A.161-313
4zqbB01 3.40.50.720.465 B.1-99,283-316
1lj8A01 3.40.50.720.466 A.2-285
3cinA01 3.40.50.720.467 A.12-223,328-393
3wg9A02 3.40.50.720.468 A.78-217
3e82B01 3.40.50.720.469 B.3-129,298-316
1dxyA01 3.40.50.720.470 A.1-101,299-330
3uuwA01 3.40.50.720.471 A.5-123
1j4aD01 3.40.50.720.472 D.2-103,301-333
2dc1A01 3.40.50.720.473 A.1-110,212-236
3a06B01 3.40.50.720.474 B.2-142
5epoA00 3.40.50.720.475 A.2-262
3gmsA02 3.40.50.720.476 A.140-265
6abjB01 3.40.50.720.477 B.17-117,315-345
3lf2A01 3.40.50.720.478 A.9-258
4fc7D00 3.40.50.720.479 D.6-277
3pwzA02 3.40.50.720.480 A.116-237
3e18A01 3.40.50.720.481 A.3-123,304-318
2rhcA00 3.40.50.720.482 A.21-277
3i4fC00 3.40.50.720.483 C.6-255
4kzpB00 3.40.50.720.484 B.21-312
5u4qB00 3.40.50.720.485 B.3-336
4k28A02 3.40.50.720.486 A.108-254
3hg7A01 3.40.50.720.487 A.4-99,285-313
2amfA01 3.40.50.720.488 A.5-153
2we8A02 3.40.50.720.489 A.206-360
5y1fA00 3.40.50.720.490 A.18-328
4j4hA02 3.40.50.720.491 A.121-244
2hjsA01 3.40.50.720.492 A.5-132,317-338
3m1aJ00 3.40.50.720.493 J.5-277
2b4qB00 3.40.50.720.494 B.21-276
5thqA00 3.40.50.720.495 A.25-272
1yo6F00 3.40.50.720.496 F.2-250
4e2xA04 3.40.50.720.497 A.318-416
3gohA02 3.40.50.720.498 A.124-249
4xymA01 3.40.50.720.499 A.1-129
1mx3A01 3.40.50.720.500 A.21-118,313-346
3d4oA02 3.40.50.720.501 A.127-273
1kyqB01 3.40.50.720.502 B.2-150
2eklA01 3.40.50.720.503 A.2-96,288-313
3triA01 3.40.50.720.504 A.2-170
3dmyA01 3.40.50.720.505 A.20-109,422-474
1xdwA01 3.40.50.720.506 A.1-102,301-331
3pidA03 3.40.50.720.507 A.324-432
4ilkA02 3.40.50.720.508 A.169-302
1iz0A02 3.40.50.720.509 A.110-270
4p22A01 3.40.50.720.510 A.57-218,302-323,399-437
1y81A00 3.40.50.720.511 A.14-129
2aefA01 3.40.50.720.512 A.10-124
3d4oB01 3.40.50.720.513 B.1-126,274-292
3dl2A01 3.40.50.720.514 A.1-150
1ps9A02 3.40.50.720.515 A.369-467,626-671
4hy3A02 3.40.50.720.516 A.129-315
4oh1A02 3.40.50.720.517 A.162-297
2ydyA00 3.40.50.720.518 A.2-298
2d8aA02 3.40.50.720.519 A.157-291
2ph5A01 3.40.50.720.520 A.6-156,401-421
1qp8A02 3.40.50.720.521 A.83-263
4g65A01 3.40.50.720.522 A.5-142
4iuyA00 3.40.50.720.523 A.21-273
3uogA02 3.40.50.720.524 A.171-312
2rcyA01 3.40.50.720.525 A.1-154
4m55F00 3.40.50.720.526 F.11-315
2cukA01 3.40.50.720.527 A.1-96,279-311
3qvsA01 3.40.50.720.528 A.1-228,330-392
6abiA01 3.40.50.720.529 A.25-126,325-357
5eesA01 3.40.50.720.530 A.1-106,216-247
1hyhA01 3.40.50.720.531 A.1-148
1id1A00 3.40.50.720.532 A.1-153
4n18A01 3.40.50.720.533 A.20-115,299-330
2p4hX00 3.40.50.720.534 X.1-322
3svtA00 3.40.50.720.535 A.8-281
1sc6A01 3.40.50.720.536 A.1-102,290-320
4oo3A01 3.40.50.720.537 A.3-147
3nklB00 3.40.50.720.538 B.3-125
3ohsX01 3.40.50.720.539 X.2-122
4c4oA02 3.40.50.720.540 A.157-286
2hmtA00 3.40.50.720.541 A.6-144
3g79A02 3.40.50.720.542 A.228-478
4koaA01 3.40.50.720.543 A.1-122
4prkA01 3.40.50.720.544 A.1-102,299-329
2eggA02 3.40.50.720.545 A.122-261
2x5oA01 3.40.50.720.546 A.1-92
6jcvA01 3.40.50.720.547 A.3-182
5a3vA02 3.40.50.720.548 A.134-278
4fflA01 3.40.50.720.549 A.1-94
4xa8A01 3.40.50.720.550 A.6-103,287-314
4g65A03 3.40.50.720.551 A.236-369
3kb6A01 3.40.50.720.552 A.2-97,300-334
1isiA02 3.40.50.720.553 A.69-95,151-251
3f4lA01 3.40.50.720.554 A.2-122
3dfuA01 3.40.50.720.555 A.3-131
4yrbA00 3.40.50.720.556 A.11-313
5ilgB00 3.40.50.720.557 B.12-269
4q9nA00 3.40.50.720.558 A.1-295
4yrbF00 3.40.50.720.559 F.11-316
4hadA01 3.40.50.720.560 A.8-142
4s1vB01 3.40.50.720.561 B.1-102,294-315
1ygyA01 3.40.50.720.562 A.3-98,281-320
4bmvI00 3.40.50.720.563 I.4-258
3ezyA01 3.40.50.720.564 A.2-121
4nheB01 3.40.50.720.565 B.3-116
4hktA01 3.40.50.720.566 A.3-120
3pvzD01 3.40.50.720.567 D.6-203,234-265,316-386
3u9lA00 3.40.50.720.568 A.5-299
1yrlB01 3.40.50.720.569 B.3-208
3aoeC03 3.40.50.720.570 C.195-345
3lk7A01 3.40.50.720.571 A.10-95
1lssA00 3.40.50.720.572 A.5-136
2j8zA02 3.40.50.720.573 A.143-286
3ip3A01 3.40.50.720.574 A.2-125
3ff4A00 3.40.50.720.575 A.2-122
2obnD01 3.40.50.720.576 D.3-135
1up7A01 3.40.50.720.577 A.1-82,108-162
4m55E00 3.40.50.720.578 E.6-287
1zh8A01 3.40.50.720.579 A.16-139,288-306
4impA03 3.40.50.720.580 A.295-550
2py6A02 3.40.50.720.581 A.37-156
5jo9A00 3.40.50.720.582 A.4-242
4r1sB00 3.40.50.720.583 B.8-325
3evtA01 3.40.50.720.584 A.2-92,283-311
2o4cA01 3.40.50.720.585 A.1-91,258-292
1edzA01 3.40.50.720.586 A.3-10,149-296
3on5B02 3.40.50.720.587 B.201-357
4j6fA02 3.40.50.720.588 A.191-349
3ic5A00 3.40.50.720.589 A.2-116
3dfzB01 3.40.50.720.590 B.22-148
3hn7A01 3.40.50.720.591 A.2-109
4gx0A02 3.40.50.720.592 A.118-347
5yjlA02 3.40.50.720.593 A.185-337
3v8bC00 3.40.50.720.594 C.29-283
1p3dA01 3.40.50.720.595 A.19-106
1pj3A02 3.40.50.720.596 A.258-553
3m6iA02 3.40.50.720.597 A.167-307
1gdhA01 3.40.50.720.598 A.1-100,290-317
5tx7A01 3.40.50.720.599 A.1-97,288-323
2g0tB01 3.40.50.720.600 B.7-157
1pjqA01 3.40.50.720.601 A.1-112
1y1pA01 3.40.50.720.602 A.12-338
3oqbA01 3.40.50.720.603 A.3-141
3t4xA00 3.40.50.720.604 A.3-267
3gvxB01 3.40.50.720.605 B.1-81,259-290
1orrC00 3.40.50.720.606 C.2-339
4gx0B04 3.40.50.720.607 B.349-479
2q1wC00 3.40.50.720.608 C.20-319
2et6A02 3.40.50.720.609 A.248-551
3m2pB00 3.40.50.720.610 B.2-295
4tqgA00 3.40.50.720.611 A.1-319
3nv9A02 3.40.50.720.612 A.193-486
4qqrB00 3.40.50.720.613 B.12-296
5yecC00 3.40.50.720.614 C.12-325
4cpdA02 3.40.50.720.615 A.157-291
5ff5B02 3.40.50.720.616 B.94-372
6dhqA03 3.40.50.720.617 A.206-500
3ckyD01 3.40.50.720.618 D.9-166
4hy3D01 3.40.50.720.619 D.27-128,316-356
5b6kA00 3.40.50.720.620 A.21-363
1vjtA01 3.40.50.720.621 A.7-95,339-369
4bucA01 3.40.50.720.622 A.16-109
2i76A01 3.40.50.720.623 A.4-155
5dcyB00 3.40.50.720.624 B.3-368
1xeaA01 3.40.50.720.625 A.2-120
1y8qC00 3.40.50.720.626 C.9-345
3wfjH01 3.40.50.720.627 H.3-178
4b4oG00 3.40.50.720.628 G.2-294
1qp8A01 3.40.50.720.629 A.2-82,264-302
1j6uA01 3.40.50.720.630 A.14-100
2x4gA00 3.40.50.720.631 A.12-341
1yovC01 3.40.50.720.632 C.12-181,391-537
6nnaA02 3.40.50.720.633 A.299-412,420-653
3s8mA00 3.40.50.720.634 A.32-421
2g6tA01 3.40.50.720.635 A.2-99
3wj7A00 3.40.50.720.636 A.13-342
4w4tB00 3.40.50.720.637 B.27-420
3l4bC01 3.40.50.720.638 C.1-117
4wkgA02 3.40.50.720.639 A.314-656
